| `navigable/document-title`                   | A     | 2.4.2        | Documents must have a `<title>` element.                         |
| `labels-and-names/frame-title`               | A     | 4.1.2        | Frames must have an accessible name.                             |
| `labels-and-names/frame-title-unique`        | A     | 4.1.2        | Frame titles should be unique.                                   |
| `distinguishable/meta-viewport`              | AA    | 1.4.4        | Viewport meta must not disable user scaling.                     |
| `enough-time/meta-refresh`                   | A     | 2.2.1        | Meta refresh must not redirect or refresh automatically.         |
| `enough-time/meta-refresh-no-exception`      | A     | 2.2.1        | Meta refresh must not be used with a delay (no exceptions).      |
| `enough-time/blink`                          | A     | 2.2.2        | `<blink>` must not be used.                                      |
| `enough-time/marquee`                        | A     | 2.2.2        | `<marquee>` must not be used.                                    |
| `text-alternatives/img-alt`                  | A     | 1.1.1        | Images must have alternate text.                                 |
| `text-alternatives/svg-img-alt`              | A     | 1.1.1        | SVG images must have an accessible name.                         |
| `text-alternatives/input-image-alt`          | A     | 1.1.1, 4.1.2 | Image inputs must have alternate text.                           |
| `text-alternatives/area-alt`                 | A     | 1.1.1, 4.1.2 | `<area>` elements must have alt text.                            |
| `text-alternatives/object-alt`               | A     | 1.1.1        | `<object>` elements must have alt text.                          |
| `text-alternatives/role-img-alt`             | A     | 1.1.1        | `role="img"` elements must have an accessible name.              |
| `keyboard-accessible/server-image-map`       | A     | 2.1.1        | Server-side image maps must not be used.                         |
| `labels-and-names/form-label`                | A     | 4.1.2        | Form elements must have labels.                                  |
| `labels-and-names/input-button-name`         | A     | 4.1.2        | Input buttons must have discernible text.                        |
| `adaptable/autocomplete-valid`               | AA    | 1.3.5        | Autocomplete attribute must use valid values.                    |
| `keyboard-accessible/nested-interactive`     | A     | 4.1.2        | Interactive controls must not be nested.                         |
| `keyboard-accessible/scrollable-region`      | A     | 2.1.1        | Scrollable regions must be keyboard accessible.                  |
| `keyboard-accessible/focus-visible`          | AA    | 2.4.7        | Elements in focus order must have a visible focus indicator.     |
| `adaptable/list-children`                    | A     | 1.3.1        | `<ul>` and `<ol>` must only contain valid children.              |
| `adaptable/listitem-parent`                  | A     | 1.3.1        | `<li>` must be in a `<ul>`, `<ol>`, or `<menu>`.                 |
| `adaptable/dl-children`                      | A     | 1.3.1        | `<dt>` and `<dd>` must be in a `<dl>`.                           |
| `adaptable/definition-list`                  | A     | 1.3.1        | `<dl>` must only contain valid children.                         |
| `distinguishable/letter-spacing`             | AA    | 1.4.12       | Letter spacing with `!important` must be at least 0.12em.        |
| `distinguishable/line-height`                | AA    | 1.4.12       | Line height with `!important` must be at least 1.5.              |
| `distinguishable/word-spacing`               | AA    | 1.4.12       | Word spacing with `!important` must be at least 0.16em.          |
| `adaptable/orientation-lock`                 | AA    | 1.3.4        | Page orientation must not be restricted.                         |
| `aria/aria-roles`                            | A     | 4.1.2        | ARIA role values must be valid.                                  |
| `aria/aria-valid-attr`                       | A     | 4.1.2        | ARIA attributes must be valid (correctly spelled).               |
| `aria/aria-valid-attr-value`                 | A     | 4.1.2        | ARIA attributes must have valid values.                          |
| `aria/aria-required-attr`                    | A     | 4.1.2        | Required ARIA attributes must be present.                        |
| `aria/aria-allowed-attr`                     | A     | 4.1.2        | ARIA attributes must be allowed for the role.                    |
| `aria/aria-allowed-role`                     | A     | 4.1.2        | ARIA role must be appropriate for the element.                   |
| `adaptable/aria-required-children`           | A     | 1.3.1        | ARIA roles must have required child roles.                       |
| `adaptable/aria-required-parent`             | A     | 1.3.1        | ARIA roles must be in required parent roles.                     |
| `aria/aria-hidden-body`                      | A     | 4.1.2        | `aria-hidden` must not be on `<body>`.                           |
| `aria/aria-hidden-focus`                     | A     | 4.1.2        | `aria-hidden` regions must not contain focusable elements.       |
| `labels-and-names/aria-command-name`         | A     | 4.1.2        | ARIA commands must have an accessible name.                      |
| `labels-and-names/aria-input-field-name`     | A     | 4.1.2        | ARIA input fields must have an accessible name.                  |
| `labels-and-names/aria-toggle-field-name`    | A     | 4.1.2        | ARIA toggle fields must have an accessible name.                 |
| `labels-and-names/aria-meter-name`           | A     | 4.1.2        | ARIA meters must have an accessible name.                        |
| `labels-and-names/aria-progressbar-name`     | A     | 4.1.2        | ARIA progressbars must have an accessible name.                  |
| `labels-and-names/aria-dialog-name`          | A     | 4.1.2        | ARIA dialogs must have an accessible name.                       |
| `labels-and-names/aria-tooltip-name`         | A     | 4.1.2        | ARIA tooltips must have an accessible name.                      |
| `labels-and-names/aria-treeitem-name`        | A     | 4.1.2        | ARIA treeitems must have an accessible name.                     |
| `aria/aria-prohibited-attr`                  | A     | 4.1.2        | ARIA attributes must not be prohibited for the role.             |
| `aria/presentation-role-conflict`            | A     | 4.1.2        | Presentation role must not conflict with focusability.           |
| `aria/presentational-children-focusable`     | A     | 4.1.2        | Presentational children must not contain focusable content.      |
| `labels-and-names/button-name`               | A     | 4.1.2        | Buttons must have discernible text.                              |
| `labels-and-names/summary-name`              | A     | 4.1.2        | `<summary>` elements must have an accessible name.               |
| `navigable/link-name`                        | A     | 2.4.4, 4.1.2 | Links must have discernible text.                                |
| `navigable/skip-link`                        | A     | 2.4.1        | Skip links must point to a valid target.                         |
| `distinguishable/link-in-text-block`         | A     | 1.4.1        | Links in text blocks must be distinguishable by more than color. |
| `readable/html-has-lang`                     | A     | 3.1.1        | `<html>` must have a `lang` attribute.                           |
| `readable/html-lang-valid`                   | A     | 3.1.1        | `lang` on `<html>` must be valid.                                |
| `readable/valid-lang`                        | AA    | 3.1.2        | `lang` attribute must have a valid value on all elements.        |
| `readable/html-xml-lang-mismatch`            | A     | 3.1.1        | `lang` and `xml:lang` must match.                                |
| `adaptable/td-headers-attr`                  | A     | 1.3.1        | Table headers references must be valid.                          |
| `adaptable/th-has-data-cells`                | A     | 1.3.1        | Table headers should be associated with data cells.              |
| `adaptable/td-has-header`                    | A     | 1.3.1        | Data cells in large tables should have associated headers.       |
| `adaptable/scope-attr-valid`                 | A     | 1.3.1        | `scope` attribute must have a valid value.                       |
| `labels-and-names/duplicate-id-aria`         | A     | 4.1.2        | IDs used in ARIA must be unique.                                 |
| `time-based-media/video-captions`            | A     | 1.2.2        | Videos must have captions.                                       |
| `time-based-media/audio-transcript`          | A     | 1.2.1        | Audio elements should have a text alternative.                   |
| `distinguishable/color-contrast`             | AA    | 1.4.3        | Text must have sufficient color contrast.                        |
| `input-assistance/accessible-authentication` | AA    | 3.3.8        | Password inputs must not block password managers.                |
| `distinguishable/color-contrast-enhanced`    | AAA   | 1.4.6        | Text must have enhanced color contrast (AAA).                    |
