filename,src,url,classification,sub_type,is_logo,is_icon,is_button,is_functional,is_decorative,alt_text,title,has_ocr_text,detected_text,contrast_violations_count,wcag_1_1_1_status,wcag_4_1_2_status,overall_status,wcag_1_1_1_reason,wcag_4_1_2_reason,screenshot_path
img_257217c414f1.png,https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png,https://www.bluecaffeine.com/,functional,logos,True,False,False,True,False,Logo,,True,8baee | caffeine | W [ RI N,2,PASSED,PASSED,PASSED,PASS [1.1.1] Logo alt includes 'logo'/'home': 'Logo',PASS [4.1.2] Logo accessible name includes 'logo': 'Logo',crawled_images/bluecaffeine_com_0324_0521/functional/logos/img_257217c414f1.png
img_3eb072697322.png,https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png,https://www.bluecaffeine.com/,functional,logos,True,False,False,True,False,Logo,,False,,0,PASSED,PASSED,PASSED,PASS [1.1.1] Logo alt includes 'logo'/'home': 'Logo',PASS [4.1.2] Logo accessible name includes 'logo': 'Logo',crawled_images/bluecaffeine_com_0324_0521/functional/logos/img_3eb072697322.png
img_f2457a848332.png,https://www.bluecaffeine.com/wp-content/uploads/2021/07/BC-WHITE-116.png,https://www.bluecaffeine.com/,functional,logos,True,False,False,True,False,Logo,,True,bayeeine  | P 0 W E R | N G | G R 0 WT H,0,PASSED,PASSED,PASSED,PASS [1.1.1] Logo alt includes 'logo'/'home': 'Logo',PASS [4.1.2] Logo accessible name includes 'logo': 'Logo',crawled_images/bluecaffeine_com_0324_0521/functional/logos/img_f2457a848332.png
img_40a125f653e4.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/B2B_blog_1-656x344-1.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,hero-banner-img-2,,True,S,1,PASSED,N/A,PASSED,PASS [1.1.1] OCR tokens too short to match; alt is non-empty,N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_40a125f653e4.png
img_26a2001138b5.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Hero-Image-4-1.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,hero-banner-img-mob-4,,True,AI,0,PASSED,N/A,PASSED,PASS [1.1.1] OCR tokens too short to match; alt is non-empty,N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_26a2001138b5.png
img_3e187055c267.png,https://www.bluecaffeine.com/wp-content/uploads/2025/03/PremierBadgeClickable.png,https://www.bluecaffeine.com/,functional,icons,False,True,False,True,False,,,True,Google Partner | PREMIER 2025,2,FAILED,FAILED,FAILED,FAIL [1.1.1] Icon has empty/missing alt text,FAIL [4.1.2] No accessible name found. alt='',crawled_images/bluecaffeine_com_0324_0521/functional/icons/img_3e187055c267.png
img_50035d4ff635.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/92.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,premier,,True,Google Partner | PREMIER 2025,2,PASSED,N/A,PASSED,PASS [1.1.1] OCR word(s) found in alt: ['premier'],N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_50035d4ff635.png
img_82d7628d2392.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-261.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,goof-partnership,,True,Oot | X | 8 blleeine,1,FAILED,N/A,FAILED,"FAIL [1.1.1] OCR words ['oot', 'blleeine'] not found in alt text 'goof-partnership'",N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_82d7628d2392.png
img_b69b37f9572b.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Group-59.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,bc-ai-labs,,False,,0,PASSED,N/A,PASSED,PASS [1.1.1] No OCR text detected; alt is non-empty (manual review recommended),N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_b69b37f9572b.png
img_39bae18d5094.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,img-1,,False,,0,PASSED,N/A,PASSED,PASS [1.1.1] No OCR text detected; alt is non-empty (manual review recommended),N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_39bae18d5094.png
img_bd4cad41e116.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-1.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,img-2,,False,,0,PASSED,N/A,PASSED,PASS [1.1.1] No OCR text detected; alt is non-empty (manual review recommended),N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_bd4cad41e116.png
img_080122a96503.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-2.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,img-2,,True,Ed,0,PASSED,N/A,PASSED,PASS [1.1.1] OCR tokens too short to match; alt is non-empty,N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_080122a96503.png
img_531f0f9ca879.png,https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-3.png,https://www.bluecaffeine.com/,informative,succinct_information,False,False,False,False,False,img-1,,True,#4,0,PASSED,N/A,PASSED,PASS [1.1.1] OCR tokens too short to match; alt is non-empty,N/A — not a functional image,crawled_images/bluecaffeine_com_0324_0521/informative/img_531f0f9ca879.png
