page_url,element_index,tag,role,element_id,input_type,visible_label,aria_label,aria_labelledby,aria_labelledby_text,title_attr,value_attr,alt_attr,accessible_name,wcag_2_5_3_status,wcag_2_5_3_violation,overall_status,html_snippet
https://www.bluecaffeine.com/,0,A,,,,"<img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"">",,,,,,,"<img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"">",FAILED,"2.5.3: Accessible name ""<img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"">"" does not contain visible label ""<img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"">"". Speech-input users cannot activate this control by speaking the visible label.",FAILED,"<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo""></noscript>
						</a"
https://www.bluecaffeine.com/,1,A,,,,CASE STUDIES,,,,,,,CASE STUDIES,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/case-studies""><span>CASE STUDIES</span></a>"
https://www.bluecaffeine.com/,2,A,,,,SERVICES,,,,,,,SERVICES,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/services/""><span>SERVICES</span></a>"
https://www.bluecaffeine.com/,3,A,,,,Marketing Services for Amazon,,,,,,,Marketing Services for Amazon,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/marketing-services-for-amazon/""><i class=""fa fa-angle-double-right""></i><span>Marketing Services for Amazon</span></a>"
https://www.bluecaffeine.com/,4,A,,,,Digital Brand Strategy,,,,,,,Digital Brand Strategy,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/strategy/""><i class=""fa fa-angle-double-right""></i><span>Digital Brand Strategy</span></a>"
https://www.bluecaffeine.com/,5,A,,,,Search Engine Marketing,,,,,,,Search Engine Marketing,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/search-engine-marketing/""><i class=""fa fa-angle-double-right""></i><span>Search Engine Marketing</span></a>"
https://www.bluecaffeine.com/,6,A,,,,Social Media Ads,,,,,,,Social Media Ads,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/social-media-ads/""><i class=""fa fa-angle-double-right""></i><span>Social Media Ads</span></a>"
https://www.bluecaffeine.com/,7,A,,,,Search Engine Optimization,,,,,,,Search Engine Optimization,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/search-engine-optimization/""><i class=""fa fa-angle-double-right""></i><span>Search Engine Optimization</span></a>"
https://www.bluecaffeine.com/,8,A,,,,Saas Services,,,,,,,Saas Services,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/saas-services/""><span>Saas Services</span></a>"
https://www.bluecaffeine.com/,9,A,,,,Analytics,,,,,,,Analytics,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/analytics/""><i class=""fa fa-angle-double-right""></i><span>Analytics</span></a>"
https://www.bluecaffeine.com/,10,A,,,,E-mail Marketing,,,,,,,E-mail Marketing,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/e-mail-marketing/""><i class=""fa fa-angle-double-right""></i><span>E-mail Marketing</span></a>"
https://www.bluecaffeine.com/,11,A,,,,Conversion Rate Optimization,,,,,,,Conversion Rate Optimization,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/conversion-rate-optimization/""><i class=""fa fa-angle-double-right""></i><span>Conversion Rate Optimization</span></a>"
https://www.bluecaffeine.com/,12,A,,,,Website & Apps,,,,,,,Website & Apps,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/website-and-apps/""><i class=""fa fa-angle-double-right""></i><span>Website &amp; Apps</span></a>"
https://www.bluecaffeine.com/,13,A,,,,BLOG,,,,,,,BLOG,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/blog-home/""><span>BLOG</span></a>"
https://www.bluecaffeine.com/,14,A,,,,CONTACT,,,,,,,CONTACT,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/#contact-us""><span>CONTACT</span></a>"
https://www.bluecaffeine.com/,15,A,,,,AI LABS,,,,,,,AI LABS,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/ai-labs/""><span>AI LABS</span></a>"
https://www.bluecaffeine.com/,16,A,,,,AI CHATBOT,,,,,,,AI CHATBOT,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/ai-chatbot/""><span>AI CHATBOT</span></a>"
https://www.bluecaffeine.com/,17,A,,,,"<img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo""/>",,,,,,,"<img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo""/>",FAILED,"2.5.3: Accessible name ""<img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo""/>"" does not contain visible label ""<img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo""/>"". Speech-input users cannot activate this control by speaking the visible label.",FAILED,"<a href=""https://www.bluecaffeine.com/""><img class=""logo lazyloaded"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo""/></noscript></a>"
https://www.bluecaffeine.com/,18,A,,,,CASE STUDIES,,,,,,,CASE STUDIES,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/case-studies""><span>CASE STUDIES</span></a>"
https://www.bluecaffeine.com/,19,A,,,,SERVICES,,,,,,,SERVICES,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/services/""><span>SERVICES</span></a>"
https://www.bluecaffeine.com/,20,A,,,,Marketing Services for Amazon,,,,,,,Marketing Services for Amazon,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/marketing-services-for-amazon/""><i class=""fa fa-angle-double-right""></i><span>Marketing Services for Amazon</span></a>"
https://www.bluecaffeine.com/,21,A,,,,Digital Brand Strategy,,,,,,,Digital Brand Strategy,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/strategy/""><i class=""fa fa-angle-double-right""></i><span>Digital Brand Strategy</span></a>"
https://www.bluecaffeine.com/,22,A,,,,Search Engine Marketing,,,,,,,Search Engine Marketing,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/search-engine-marketing/""><i class=""fa fa-angle-double-right""></i><span>Search Engine Marketing</span></a>"
https://www.bluecaffeine.com/,23,A,,,,Social Media Ads,,,,,,,Social Media Ads,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/social-media-ads/""><i class=""fa fa-angle-double-right""></i><span>Social Media Ads</span></a>"
https://www.bluecaffeine.com/,24,A,,,,Search Engine Optimization,,,,,,,Search Engine Optimization,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/search-engine-optimization/""><i class=""fa fa-angle-double-right""></i><span>Search Engine Optimization</span></a>"
https://www.bluecaffeine.com/,25,A,,,,Saas Services,,,,,,,Saas Services,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/saas-services/""><span>Saas Services</span></a>"
https://www.bluecaffeine.com/,26,A,,,,Analytics,,,,,,,Analytics,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/analytics/""><i class=""fa fa-angle-double-right""></i><span>Analytics</span></a>"
https://www.bluecaffeine.com/,27,A,,,,E-mail Marketing,,,,,,,E-mail Marketing,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/e-mail-marketing/""><i class=""fa fa-angle-double-right""></i><span>E-mail Marketing</span></a>"
https://www.bluecaffeine.com/,28,A,,,,Conversion Rate Optimization,,,,,,,Conversion Rate Optimization,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/conversion-rate-optimization/""><i class=""fa fa-angle-double-right""></i><span>Conversion Rate Optimization</span></a>"
https://www.bluecaffeine.com/,29,A,,,,Website & Apps,,,,,,,Website & Apps,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/website-and-apps/""><i class=""fa fa-angle-double-right""></i><span>Website &amp; Apps</span></a>"
https://www.bluecaffeine.com/,30,A,,,,BLOG,,,,,,,BLOG,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/blog-home/""><span>BLOG</span></a>"
https://www.bluecaffeine.com/,31,A,,,,CONTACT,,,,,,,CONTACT,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/#contact-us""><span>CONTACT</span></a>"
