Image,Image Path,Text,Foreground Color,Background Color,Contrast Ratio,AA Normal,AA Large,AAA Normal,AAA Large
img_9b2c9335e55f.png,/app/crawled_images/bluecaffeine_com_0324_1139/complex/charts/img_9b2c9335e55f.png,MARLYAMA,#262323,#847f78,3.93,False,True,False,False
img_9b2c9335e55f.png,/app/crawled_images/bluecaffeine_com_0324_1139/complex/charts/img_9b2c9335e55f.png,MARLYAMA,#262323,#534a3f,1.8,False,False,False,False
img_9b2c9335e55f.png,/app/crawled_images/bluecaffeine_com_0324_1139/complex/charts/img_9b2c9335e55f.png,MARLYAMA,#262323,#e0e0db,11.77,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,Oot,#3c383b,#f8f9fb,10.95,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,Oot,#3c383b,#f8f9fb,10.95,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,Oot,#3c383b,#f8f9fb,10.95,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,X,#000000,#f8f9fb,19.93,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,X,#000000,#f8f9fb,19.93,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,X,#000000,#f8f9fb,19.93,True,True,True,True
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,8 blleeine,#3a78ad,#f8f9fb,4.46,False,True,False,False
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,8 blleeine,#3a78ad,#f8f9fb,4.46,False,True,False,False
img_82d7628d2392.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_82d7628d2392.png,8 blleeine,#3a78ad,#f8f9fb,4.46,False,True,False,False
img_50035d4ff635.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_50035d4ff635.png,Google Partner,#787b80,#ffffff,4.25,False,True,False,False
img_50035d4ff635.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_50035d4ff635.png,Google Partner,#787b80,#ffffff,4.25,False,True,False,False
img_50035d4ff635.png,/app/crawled_images/bluecaffeine_com_0324_1139/informative/img_50035d4ff635.png,Google Partner,#787b80,#ffffff,4.25,False,True,False,False
