page_url,element_index,tag,role,element_id,input_type,accessible_name,rendered_width_px,rendered_height_px,padding_top_px,padding_bottom_px,padding_left_px,padding_right_px,is_inline_exception,is_ua_controlled_exception,passes_size,wcag_2_5_8_status,wcag_2_5_8_violation,overall_status,html_snippet
https://www.bluecaffeine.com/,0,A,,,,"<img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/up",178.19,14.0,0.0,0.0,0.0,0.0,False,False,False,FAILED,2.5.8: Interactive target is 178×14 px — height 14 px (need ≥ 24). Increase the element size or add sufficient padding so the total clickable area is at least 24×24 CSS px.,FAILED,"<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo""></noscript>
						</a"
https://www.bluecaffeine.com/,1,A,,,,CASE STUDIES,105.92,80.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/case-studies""><span>CASE STUDIES</span></a>"
https://www.bluecaffeine.com/,2,A,,,,SERVICES,71.28,80.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/services/""><span>SERVICES</span></a>"
https://www.bluecaffeine.com/,3,A,,,,BLOG,43.64,80.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/blog-home/""><span>BLOG</span></a>"
https://www.bluecaffeine.com/,4,A,,,,CONTACT,77.13,80.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/#contact-us""><span>CONTACT</span></a>"
https://www.bluecaffeine.com/,5,A,,,,AI LABS,58.13,80.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/ai-labs/""><span>AI LABS</span></a>"
https://www.bluecaffeine.com/,6,A,,,,AI CHATBOT,93.61,80.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/ai-chatbot/""><span>AI CHATBOT</span></a>"
https://www.bluecaffeine.com/,7,A,,,,"<img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/up",164.47,14.0,0.0,0.0,0.0,0.0,False,False,False,FAILED,2.5.8: Interactive target is 164×14 px — height 14 px (need ≥ 24). Increase the element size or add sufficient padding so the total clickable area is at least 24×24 CSS px.,FAILED,"<a href=""https://www.bluecaffeine.com/""><img class=""logo lazyloaded"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height: 60px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png"" alt=""Logo""/></noscript></a>"
https://www.bluecaffeine.com/,8,A,,,,CASE STUDIES,91.0,50.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/case-studies""><span>CASE STUDIES</span></a>"
https://www.bluecaffeine.com/,9,A,,,,SERVICES,61.0,50.0,0.0,0.0,0.0,0.0,False,False,True,PASSED,,PASSED,"<a href=""https://www.bluecaffeine.com/services/""><span>SERVICES</span></a>"
